glob_id,external_id,similarity_score,method,overlap
GLOB2_1671,GLOB_GAVOC_00001,100.0,1,False
GLOB_474,GLOB_GAVOC_00013,100.0,1,False
GLOB_872,GLOB_GAVOC_00020,100.0,1,False
GLOB_872_HUM_1,GLOB_GAVOC_00020,100.0,1,False
GLOB_872_HUM_2,GLOB_GAVOC_00020,100.0,1,False
GLOB_505,GLOB_GAVOC_00026,100.0,1,False
GLOB_505_GEO_1,GLOB_GAVOC_00026,88.88888888888889,1,False
GLOB_505_HUM_1,GLOB_GAVOC_00026,88.88888888888889,1,False
GLOB_505_HUM_2,GLOB_GAVOC_00026,100.0,1,False
GLOB_846,GLOB_GAVOC_00031,100.0,1,False
GLOB_857,GLOB_GAVOC_00032,100.0,1,False
GLOB_588,GLOB_GAVOC_00034,100.0,1,False
GLOB_853,GLOB_GAVOC_00037,100.0,1,False
GLOB_3,GLOB_GAVOC_00040,96.0,1,False
GLOB_119,GLOB_GAVOC_00058,83.33333333333334,1,False
GLOB_516,GLOB_GAVOC_00058,100.0,1,False
GLOB_849,GLOB_GAVOC_00082,100.0,1,False
GLOB_849,GLOB_GAVOC_00083,100.0,1,False
GLOB_BN_21,GLOB_GAVOC_00096,100.0,1,False
GLOB_151,GLOB_GAVOC_00104,100.0,1,False
GLOB_514,GLOB_GAVOC_00105,100.0,1,False
GLOB_508,GLOB_GAVOC_00107,100.0,1,False
GLOB_508,GLOB_GAVOC_00108,93.33333333333333,1,False
GLOB_NB_138,GLOB_GAVOC_00111,100.0,1,False
GLOB2_E_26,GLOB_GAVOC_00116,100.0,1,False
GLOB_894,GLOB_GAVOC_00128,100.0,1,False
GLOB_NB_131,GLOB_GAVOC_00128,94.73684210526316,1,False
GLOB2_1447,GLOB_GAVOC_00130,100.0,1,False
GLOB_RT_213,GLOB_GAVOC_00133,82.35294117647058,1,False
GLOB_RT_183,GLOB_GAVOC_00141,100.0,1,True
GLOB_NB_131,GLOB_GAVOC_00145,94.73684210526316,1,False
GLOB2_1739,GLOB_GAVOC_00156,100.0,1,False
GLOB2_1500,GLOB_GAVOC_00168,100.0,1,False
GLOB_876,GLOB_GAVOC_00177,88.88888888888889,1,False
GLOB_876_HUM_1,GLOB_GAVOC_00177,88.88888888888889,1,False
GLOB_876_HUM_2,GLOB_GAVOC_00177,88.88888888888889,1,False
GLOB_249,GLOB_GAVOC_00189,100.0,1,False
GLOB_518,GLOB_GAVOC_00197,100.0,1,False
GLOB_751,GLOB_GAVOC_00199,100.0,1,False
GLOB2_1899,GLOB_GAVOC_00202,100.0,1,False
GLOB_79,GLOB_GAVOC_00205,100.0,1,False
GLOB_754,GLOB_GAVOC_00219,100.0,1,False
GLOB2_1428,GLOB_GAVOC_00223,100.0,1,True
GLOB2_E_16,GLOB_GAVOC_00227,100.0,1,False
GLOB_129,GLOB_GAVOC_00227,100.0,1,False
GLOB2_E_16,GLOB_GAVOC_00228,100.0,1,False
GLOB_129,GLOB_GAVOC_00228,100.0,1,False
GLOB2_E_16,GLOB_GAVOC_00230,100.0,1,False
GLOB_129,GLOB_GAVOC_00230,100.0,1,False
GLOB_RT_9,GLOB_GAVOC_00259,100.0,1,False
GLOB_608,GLOB_GAVOC_00260,100.0,1,False
GLOB_RT_9,GLOB_GAVOC_00260,100.0,1,False
GLOB_608,GLOB_GAVOC_00261,100.0,1,False
GLOB_RT_9,GLOB_GAVOC_00262,100.0,1,False
GLOB_177,GLOB_GAVOC_00267,100.0,1,False
GLOB2_1553,GLOB_GAVOC_00274,90.9090909090909,1,False
GLOB_RT_177,GLOB_GAVOC_00274,100.0,1,True
GLOB_404,GLOB_GAVOC_00277,100.0,1,False
GLOB_NB_47,GLOB_GAVOC_00303,82.35294117647058,1,True
GLOB_873,GLOB_GAVOC_00329,100.0,1,False
GLOB2_1442,GLOB_GAVOC_00347,100.0,1,False
GLOB_504,GLOB_GAVOC_00351,100.0,1,False
GLOB2_1385,GLOB_GAVOC_00352,100.0,1,False
GLOB2_1416,GLOB_GAVOC_00392,100.0,1,True
GLOB_PY_55,GLOB_GAVOC_00399,94.73684210526316,1,False
GLOB_863,GLOB_GAVOC_00402,95.65217391304348,1,False
GLOB2_938,GLOB_GAVOC_00426,100.0,1,False
GLOB2_938_HUM_1,GLOB_GAVOC_00426,100.0,1,False
GLOB2_938_HUM_2,GLOB_GAVOC_00426,100.0,1,False
GLOB2_1548,GLOB_GAVOC_00433,94.11764705882352,1,False
GLOB_RT_128,GLOB_GAVOC_00436,100.0,1,False
GLOB_111,GLOB_GAVOC_00448,82.35294117647058,1,False
GLOB_NB_48,GLOB_GAVOC_00448,100.0,1,False
GLOB2_1605,GLOB_GAVOC_00452,100.0,1,False
GLOB_NB_138,GLOB_GAVOC_00455,100.0,1,False
GLOB_507,GLOB_GAVOC_00456,100.0,1,False
GLOB_507,GLOB_GAVOC_00460,100.0,1,False
GLOB2_905,GLOB_GAVOC_00463,83.33333333333334,1,False
GLOB_E_53,GLOB_GAVOC_00463,83.33333333333334,1,False
GLOB2_1606,GLOB_GAVOC_00465,85.71428571428572,1,False
GLOB_RT_128,GLOB_GAVOC_00473,100.0,1,False
GLOB_8,GLOB_GAVOC_00474,100.0,1,False
GLOB_8,GLOB_GAVOC_00475,100.0,1,False
GLOB_79,GLOB_GAVOC_00477,100.0,1,False
GLOB_512,GLOB_GAVOC_00506,100.0,1,False
GLOB_120,GLOB_GAVOC_00522,100.0,1,False
GLOB_581,GLOB_GAVOC_00546,100.0,1,False
GLOB2_E_84,GLOB_GAVOC_00549,85.71428571428572,1,True
GLOB2_E_87,GLOB_GAVOC_00549,90.0,1,True
GLOB2_1482,GLOB_GAVOC_00552,100.0,1,True
GLOB_PY_24,GLOB_GAVOC_00558,100.0,1,False
GLOB_790,GLOB_GAVOC_00560,100.0,1,False
GLOB_443,GLOB_GAVOC_00561,87.5,1,False
GLOB_526,GLOB_GAVOC_00562,92.3076923076923,1,False
GLOB2_1127,GLOB_GAVOC_00572,100.0,1,True
GLOB_526,GLOB_GAVOC_00577,92.3076923076923,1,False
GLOB2_1817,GLOB_GAVOC_00581,84.61538461538461,1,False
GLOB_28,GLOB_GAVOC_00588,85.71428571428572,1,False
GLOB2_1278,GLOB_GAVOC_00603,100.0,1,False
GLOB_RT_219,GLOB_GAVOC_00611,100.0,1,False
GLOB_580,GLOB_GAVOC_00616,100.0,1,False
NR_87,GLOB_GAVOC_00620,100.0,1,False
GLOB_908,GLOB_GAVOC_00621,100.0,1,False
GLOB_908,GLOB_GAVOC_00622,100.0,1,False
GLOB_10,GLOB_GAVOC_00623,100.0,1,False
GLOB_10,GLOB_GAVOC_00625,100.0,1,True
GLOB2_1045,GLOB_GAVOC_00640,100.0,1,False
GLOB2_1611,GLOB_GAVOC_00642,100.0,1,False
GLOB2_1722,GLOB_GAVOC_00649,100.0,1,False
GLOB2_1722,GLOB_GAVOC_00650,100.0,1,False
GLOB_176,GLOB_GAVOC_00662,100.0,1,False
GLOB_RT_214,GLOB_GAVOC_00667,100.0,1,False
GLOB2_1355,GLOB_GAVOC_00681,100.0,1,False
GLOB_NB_205,GLOB_GAVOC_00684,100.0,1,False
GLOB2_925,GLOB_GAVOC_00685,100.0,1,True
GLOB2_1426,GLOB_GAVOC_00688,100.0,1,False
GLOB_NB_79,GLOB_GAVOC_00730,100.0,1,False
GLOB_11,GLOB_GAVOC_00732,100.0,1,False
GLOB2_1098,GLOB_GAVOC_00736,100.0,1,False
GLOB2_1652,GLOB_GAVOC_00736,100.0,1,False
GLOB_748,GLOB_GAVOC_00741,100.0,1,False
GLOB2_1515,GLOB_GAVOC_00747,100.0,1,True
GLOB2_E_17,GLOB_GAVOC_00747,100.0,1,False
GLOB2_E_3,GLOB_GAVOC_00747,100.0,1,False
GLOB2_E_17,GLOB_GAVOC_00751,100.0,1,False
GLOB2_E_3,GLOB_GAVOC_00751,100.0,1,False
GLOB2_E_253,GLOB_GAVOC_00768,100.0,1,False
GLOB2_E_253,GLOB_GAVOC_00769,100.0,1,False
GLOB_582,GLOB_GAVOC_00771,100.0,1,False
GLOB_115,GLOB_GAVOC_00775,100.0,1,False
GLOB2_1894,GLOB_GAVOC_00781,100.0,1,False
GLOB2_1894_HUM_1,GLOB_GAVOC_00781,100.0,1,False
GLOB_RT_246,GLOB_GAVOC_00796,86.95652173913044,1,False
GLOB2_1195,GLOB_GAVOC_00798,100.0,1,False
GLOB2_899,GLOB_GAVOC_00815,100.0,1,False
GLOB2_899,GLOB_GAVOC_00821,100.0,1,False
GLOB2_899,GLOB_GAVOC_00822,100.0,1,False
GLOB_RT_119,GLOB_GAVOC_00829,100.0,1,False
GLOB_RT_92,GLOB_GAVOC_00836,100.0,1,True
