external_id,pref_label,label,longitude,latitude,point_coord,coord_source,coord_source_page,coord_remarks,place_type,pp_uri,pp_type_label,attestation_id
GLOB_GAVOC_00001,Andaman Islands,"Andamanen|Aandomaon, Ilha de|Andamao|Andamaon|Andaman Islands",92.833333,12.5,POINT (92.833333 12.5),https://www.zotero.org/groups/4678659/items/HRI8XQQI,399,12-30N/92-50E,islands,https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,islands,2|307|308
GLOB_GAVOC_00002,Bukit Monyet,Apenberg|Aapjesberg|Bukit Monyet,100.333333,-0.966667,POINT (100.333333 -0.966667),https://www.zotero.org/groups/4678659/items/HRI8XQQI,399,00-58S/100-20E,mountain,https://digitaalerfgoed.poolparty.biz/globalise/617a0924-1516-4be8-a478-b451bf47f5bf,mountains,3
GLOB_GAVOC_00003,Arnhem Land,Aarnhems Landt|Arnhem Land|Aarnhems Land,134.0,-13.5,POINT (134 -13.5),https://www.zotero.org/groups/4678659/items/HRI8XQQI,399,13-30S/134E,region,https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894,regions,4|5
GLOB_GAVOC_00005,Tg. Mangkalihat,Aart Gysens H.|art Gysens Hoek|Tg. Mangkalihat,119.0,1.0,POINT (119 1),https://www.zotero.org/groups/4678659/items/HRI8XQQI,399,01N/119E,cape,https://digitaalerfgoed.poolparty.biz/globalise/ea0cf4b3-3d82-4ff6-ad10-12e77f581218,capes,6|7
GLOB_GAVOC_00007,Per Aru,"Aatchellay, R.|Per Aru",80.75,9.25,POINT (80.75 9.25),https://www.zotero.org/groups/4678659/items/HRI8XQQI,399,09-15N/80-45E,river,https://digitaalerfgoed.poolparty.biz/globalise/cf7cc49f-738b-48b0-80a7-476244ba4919,rivers,8
GLOB_GAVOC_00011,Port Mc Arthur,Abel Tasmans Bayen|Port Mc Arthur,136.75,-15.833333,POINT (136.75 -15.833333),https://www.zotero.org/groups/4678659/items/HRI8XQQI,399,15-50S/136-45E,bay,https://digitaalerfgoed.poolparty.biz/globalise/6798ed1b-27a6-4113-9cd8-a78f68b94e7c,bays,12
GLOB_GAVOC_00013,Bushehr,Abeschier|Bushehr,50.816667,28.916667,POINT (50.816667 28.916667),https://www.zotero.org/groups/4678659/items/HRI8XQQI,399,28-55N/50-49E,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,14
GLOB_GAVOC_00014,Leyte,Leyte|Abigo,124.833333,11.0,POINT (124.833333 11),https://www.zotero.org/groups/4678659/items/HRI8XQQI,399,11N/124-50E,island,https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,islands,15
GLOB_GAVOC_00020,Akuressa,Accuras|Akuressa,80.466667,6.083333,POINT (80.466667 6.083333),https://www.zotero.org/groups/4678659/items/HRI8XQQI,399,06-05N/80-28E,fortress,-,-,21
GLOB_GAVOC_00022,Lamo,"Lamo|Achilammoe, R.|Achilamma, R.",127.916667,-0.083333,POINT (127.916667 -0.083333),https://www.zotero.org/groups/4678659/items/HRI8XQQI,399,00-05S/127-55E,river,https://digitaalerfgoed.poolparty.biz/globalise/cf7cc49f-738b-48b0-80a7-476244ba4919,rivers,24|23
GLOB_GAVOC_00024,Jaza’ir Seba,"Jezt.Sowabih|Acht Steene Eylanden, De|Sawabi’|Jaza’ir Seba",43.383333,12.45,POINT (43.383333 12.45),https://www.zotero.org/groups/4678659/items/HRI8XQQI,399,12-27N/43-23E,islands,https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,islands,25|26
