glob_id,label,pref_label,latitude,longitude,wkt,place_type_uri,place_type
-,Lama|T Eijlant kelang|Vavorlang|Aimoi|Packan|Lamai|Mattysen Eijlant|Tanswei|Tanekoja|Piscadores|de stadt Proventie|Kelangh|Tamsui|Lamo|Kavalang|Quemoi|Loukion|Tankoij|stadt proventie|het vlekje Provintie|Barnagore|Nankin|Rivier van Fabolangh|tansue|Tanswij|Cinchieu|t eijlandt quelangh|Pehouw|Eijmoij|St. Matheus Eijlant|Tanky|Cinchieuw,-,-,-,POINT EMPTY,-,-
GLOB2_1001,Larique|Larieque|Larieke|Larricque|Laricque|Laryecque|Larike,Larike,-3.75519,127.9305,POINT (127.9305 -3.75519),https://digitaalerfgoed.poolparty.biz/globalise/4b274bf6-aa23-44f3-8d90-809c6617916f,comptoir
GLOB2_1003,Carnatica|Vijayanagara,Vijayanagara,15.325,76.465,POINT (76.465 15.325),https://digitaalerfgoed.poolparty.biz/globalise/27785c97-df3c-424e-aa75-bddbd674e183|https://digitaalerfgoed.poolparty.biz/globalise/6f1f178a-fa6f-4553-a723-99f9d909a771,kingdom|empire
GLOB2_1007,Maba,Maba,0.7007,128.29197,POINT (128.29197 0.7007),https://digitaalerfgoed.poolparty.biz/globalise/40217104-de46-42ed-80c8-480fac1f8706,district
GLOB2_1009,Hijla|Hela|Hila|Hilla,Hila,-3.58142,128.0863,POINT (128.0863 -3.58142),-,-
GLOB2_1009_HUM_1,Hijla|Hela|Hila|Hilla,Hila,-3.58142,128.0863,POINT (128.0863 -3.58142),https://digitaalerfgoed.poolparty.biz/globalise/d4dafba3-2344-4f5a-a94d-ed988069d0e5,village
GLOB2_1009_HUM_2,Hijla|Hela|Hila|Hilla,Hila,-3.58142,128.0863,POINT (128.0863 -3.58142),https://digitaalerfgoed.poolparty.biz/globalise/4b274bf6-aa23-44f3-8d90-809c6617916f,comptoir
GLOB2_1009_HUM_3,Fort Amsterdam (Ambon)|fort Amsterdam|fort Hila|Kasteel van Verre,Fort Amsterdam (Ambon),-3.582671,128.083173,POINT (128.083173 -3.582671),https://digitaalerfgoed.poolparty.biz/globalise/84767cdb-cabe-4384-9e51-faca2ae3b864,fortification
GLOB2_1010,Calicata|Calikut|Calechut|Calij Catta|Calicatto|Caliacatta|Calicut|Calecuth|Kozhikode|Kalicout,Kozhikode,11.258,75.77716,POINT (75.77716 11.258),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683|https://digitaalerfgoed.poolparty.biz/globalise/93a0b2c9-ad9a-4bab-8620-11b5c1e01f37,port|city
GLOB2_1010_HUM_1,'t Koninkryk Calichut|Kozhikode (kingdom)|Het Koningryk Calicut,Kozhikode (kingdom),11.258,75.77716,POINT (75.77716 11.258),https://digitaalerfgoed.poolparty.biz/globalise/6f1f178a-fa6f-4553-a723-99f9d909a771,kingdom
GLOB2_1010_HUM_2,Calikut|Calichut|Kozhikode (European Settlement),Kozhikode (European Settlement),11.258,75.77716,POINT (75.77716 11.258),https://digitaalerfgoed.poolparty.biz/globalise/c12eaa34-8bf0-4f08-92b8-195871dbf949,european settlement
GLOB2_1018,Tello|Tallo|Talloq,Tallo,-5.149,119.4698,POINT (119.4698 -5.149),https://digitaalerfgoed.poolparty.biz/globalise/6f1f178a-fa6f-4553-a723-99f9d909a771,kingdom
GLOB2_1019,Guzeratte|Gujarāt,Gujarāt,23.0,71.75,POINT (71.75 23),https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894,region
GLOB2_1020,北京|Paquin|Packin|Beijing|Peking|Packijn|Packjan,Beijing,39.9075,116.39723,POINT (116.39723 39.9075),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683|https://digitaalerfgoed.poolparty.biz/globalise/2b007e6a-a299-413b-bc7f-51e69a9e1fab,city|capital
GLOB2_1021,Sangij|Sangihe Besar Island|Sangihe,Sangihe Besar Island,3.58333,125.53333,POINT (125.53333 3.58333),https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,island
GLOB2_1022,Wajo|Wadjo|Towadjo,Wajo,-4.01824,120.1872,POINT (120.1872 -4.01824),https://digitaalerfgoed.poolparty.biz/globalise/d1f592cd-dec1-4f42-bb73-930ce816dfaf,landschap
GLOB2_1023,Dompo|Dompu,Dompu,-8.54183,118.4531,POINT (118.4531 -8.54183),https://digitaalerfgoed.poolparty.biz/globalise/d1f592cd-dec1-4f42-bb73-930ce816dfaf,landschap
GLOB2_1026,Sweden|Zweden,Sweden,62.0,15.0,POINT (15 62),https://digitaalerfgoed.poolparty.biz/globalise/6f1f178a-fa6f-4553-a723-99f9d909a771,kingdom
GLOB2_1027,Tartarije|Tartary|Tartarye|Tartaria,Tartary,-,-,POINT EMPTY,https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894,region
GLOB2_1028,Pauh|Pauw,Pauh,-0.8825,100.49806,POINT (100.49806 -0.8825),https://digitaalerfgoed.poolparty.biz/globalise/d4dafba3-2344-4f5a-a94d-ed988069d0e5,village
GLOB2_1029,Maccisser|Kisser|Makisser|Pulau Kisar|Kisar,Pulau Kisar,-8.08333,127.2,POINT (127.2 -8.08333),https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,island
GLOB2_1031,Pipeli|Pipelij|Ballipaal|Pipely|Baliapal|Piepelij|Pipilipatan,Baliapal,21.651365,87.279797,POINT (87.279797 21.651365),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683|https://digitaalerfgoed.poolparty.biz/globalise/93a0b2c9-ad9a-4bab-8620-11b5c1e01f37,port|city
GLOB2_1033,Pulau Gorom|Pulau Gorong|Gorom Island|Gooram|Goram,Gorom Island,-4.00266,131.4132,POINT (131.4132 -4.00266),https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,island
GLOB2_1034,Nias|Pulau Nias,Pulau Nias,1.053071,97.63784,POINT (97.63784 1.053071),https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,island
GLOB2_1035,Bwool|Buol|Bwooll,Buol,1.156253,121.44,POINT (121.44 1.156253),https://digitaalerfgoed.poolparty.biz/globalise/6f1f178a-fa6f-4553-a723-99f9d909a771,kingdom
GLOB2_1036,Celebar|Zillebaar|Cillebaer|Silebar,Silebar,-4.08711,102.59533,POINT (102.59533 -4.08711),https://digitaalerfgoed.poolparty.biz/globalise/954cae70-c7e6-4ee9-8273-73beabc3fc0b,coastal settlement
GLOB2_1038,Tambora|Tombora,Tambora,-8.24655,117.95863,POINT (117.95863 -8.24655),-,-
GLOB2_1038_GEO_1,Tambora|Tombora|Gunung Tambora,Gunung Tambora,-8.24655,117.95863,POINT (117.95863 -8.24655),https://digitaalerfgoed.poolparty.biz/globalise/0c8912b1-6814-4b31-8160-61e51ea1d011,volcano
GLOB2_1038_HUM_1,Tambora|Tombora|Tambora Kingdom,Tambora Kingdom,-8.24655,117.95863,POINT (117.95863 -8.24655),https://digitaalerfgoed.poolparty.biz/globalise/6f1f178a-fa6f-4553-a723-99f9d909a771,kingdom
GLOB2_1041,Tangeran|Tangerangh|Tangarang|Tangerang|fort Tangerang,Tangerang,-6.172524,106.630507,POINT (106.630507 -6.172524),-,-
GLOB2_1041_HUM_1,Tangerangh|Tangerang|Tangarang|Tangeran,Tangerang,-6.172524,106.630507,POINT (106.630507 -6.172524),https://digitaalerfgoed.poolparty.biz/globalise/8e41887e-0111-4667-b209-9d0da933b7d8,town
GLOB2_1041_HUM_2,Tangeran|Tangerangh|Fort Tangerang|Tangerang|Tangarang,Fort Tangerang,-6.174639,106.629597,POINT (106.629597 -6.174639),https://digitaalerfgoed.poolparty.biz/globalise/84767cdb-cabe-4384-9e51-faca2ae3b864,fortification
GLOB2_1045,Balemboangang|Balamboangan|Blambangan|Balambangan|Baliboangh,Blambangan,-8.4294,114.3071,POINT (114.3071 -8.4294),https://digitaalerfgoed.poolparty.biz/globalise/7c1af419-926c-47c9-9450-05dc5849c05c|https://digitaalerfgoed.poolparty.biz/globalise/6f1f178a-fa6f-4553-a723-99f9d909a771,kingdom|negorij [PROBLEMATIC TERM]
GLOB2_1047,"Guinea Coast|Guinea, Kust van",Guinea Coast,2.0,2.5,POINT (2.5 2),https://digitaalerfgoed.poolparty.biz/globalise/42bea596-3b26-4598-a894-5922ff137c7c,coast
GLOB2_1049,Rājmahal|Ragiemahol|Rajmahal|Ragamahol|Ragiamahol|Ragimahol,Rājmahal,25.05543,87.82945,POINT (87.82945 25.05543),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683,city
GLOB2_1050,Krawang|Carawang|Karawang|Carwangh|Craoangh|Crawang|Hoek van Craoangh|Craoang|Croang|Caruan,Karawang,-6.3052,107.2928,POINT (107.2928 -6.3052),-,-
GLOB2_1050_GEO_1,Tanjung Karawang|Hoek van Craoangh,Tanjung Karawang,-5.92611,107.00333,POINT (107.00333 -5.92611),https://digitaalerfgoed.poolparty.biz/globalise/ea0cf4b3-3d82-4ff6-ad10-12e77f581218,cape
GLOB2_1050_GEO_2,Ci Tarum|Karawang|Carwangh|Craoangse rivier|Tjitarum|Moordenaars R.|Caruan,Ci Tarum,-5.93833,106.99333,POINT (106.99333 -5.93833),https://digitaalerfgoed.poolparty.biz/globalise/cf7cc49f-738b-48b0-80a7-476244ba4919,river
GLOB2_1050_HUM_1,Krawang|Karawang|Carwangh|Craoangh|Crawang|Craoang|Croang|Caruan,Karawang,-6.3052,107.2928,POINT (107.2928 -6.3052),https://digitaalerfgoed.poolparty.biz/globalise/d1f592cd-dec1-4f42-bb73-930ce816dfaf,landschap
GLOB2_1051,Mozambique|Mosambyque|Mosambique|Mousanbick|Mozambique coast,Mozambique,-15.029,40.74387,POINT (40.74387 -15.029),https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894,region
GLOB2_1053,薩摩|Satsuma|Zatsuma,Satsuma,31.41667,130.41667,POINT (130.41667 31.41667),https://digitaalerfgoed.poolparty.biz/globalise/0e3137ad-bc4d-4da6-8ba3-f4fc5fe7058f,province
GLOB2_1056,Martapura|Martapoura,Martapura,-3.4109,114.8642,POINT (114.8642 -3.4109),https://digitaalerfgoed.poolparty.biz/globalise/ebf26f69-b692-437a-b6fa-2bb4ae0ae95b|https://digitaalerfgoed.poolparty.biz/globalise/93a0b2c9-ad9a-4bab-8620-11b5c1e01f37,port|polity
GLOB2_1062,Parigi|Parygy|Parigie|Parigij,Parigi,-0.83939,120.1876,POINT (120.1876 -0.83939),https://digitaalerfgoed.poolparty.biz/globalise/6f1f178a-fa6f-4553-a723-99f9d909a771,kingdom
GLOB2_1063,Bajang|Bayangh|Bayang,Bayang,-1.257,100.522,POINT (100.522 -1.257),https://digitaalerfgoed.poolparty.biz/globalise/954cae70-c7e6-4ee9-8273-73beabc3fc0b,coastal settlement
GLOB2_1066,Londen|London,London,51.51051,-0.0912,POINT (-0.0912 51.51051),https://digitaalerfgoed.poolparty.biz/globalise/20d7cfe7-b3b1-4223-b2b4-d9f6ddb2e683,city
GLOB2_1067,Endeh|Flores|Ende|Pulau Flores,Flores,-8.69329,121.2471,POINT (121.2471 -8.69329),https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,island
GLOB2_1070,Afrique|Africa|Afrika,Africa,7.1881,21.09375,POINT (21.09375 7.1881),https://digitaalerfgoed.poolparty.biz/globalise/7006b73c-c2eb-4873-8393-5af701fae308,continent
GLOB2_1071,Gingier|Sinsier|Gingee|Gingie|Tsinsij|Gingi,Gingee,12.25282,79.41727,POINT (79.41727 12.25282),https://digitaalerfgoed.poolparty.biz/globalise/84767cdb-cabe-4384-9e51-faca2ae3b864,fort
GLOB2_1071_HUM_1,Gingee|Gingier|Gingie|Gingi,Gingee,12.25282,79.41727,POINT (79.41727 12.25282),https://digitaalerfgoed.poolparty.biz/globalise/6f1f178a-fa6f-4553-a723-99f9d909a771,kingdom
