external_id,glob_id,decision,note
GLOB_GAVOC_00001,GLOB2_1671,match,
GLOB_GAVOC_00002,GLOB_PY_55,reject,
GLOB_GAVOC_00013,GLOB_474,match,
GLOB_GAVOC_00020,GLOB_872_HUM_2,match,
GLOB_GAVOC_00020,GLOB_872_HUM_1,reject,
GLOB_GAVOC_00020,GLOB_872,reject,
GLOB_GAVOC_00022,GLOB_118,reject,
GLOB_GAVOC_00024,GLOB2_1150,reject,
GLOB_GAVOC_00026,GLOB_505_HUM_2,reject,
GLOB_GAVOC_00026,GLOB_505_GEO_1,match,
GLOB_GAVOC_00026,GLOB_505_HUM_1,reject,
GLOB_GAVOC_00026,GLOB_505,reject,
GLOB_GAVOC_00031,GLOB_846,match,
GLOB_GAVOC_00032,GLOB_857,match,
GLOB_GAVOC_00034,GLOB_588,match,
GLOB_GAVOC_00037,GLOB_853,match,
GLOB_GAVOC_00040,GLOB_3,match,
GLOB_GAVOC_00047,GLOB_11,reject,
GLOB_GAVOC_00047,GLOB_115,reject,
GLOB_GAVOC_00053,GLOB_847,reject,
GLOB_GAVOC_00058,GLOB_119,reject,
GLOB_GAVOC_00058,GLOB_516,unsure,
GLOB_GAVOC_00063,GLOB2_1070,match,
GLOB_GAVOC_00082,GLOB_849,match,
GLOB_GAVOC_00083,GLOB_849,match,
GLOB_GAVOC_00096,GLOB_BN_21,match,
GLOB_GAVOC_00104,GLOB_151,match,
GLOB_GAVOC_00105,GLOB_514,match,
GLOB_GAVOC_00107,GLOB_508,match,
GLOB_GAVOC_00108,GLOB_508,unsure,
GLOB_GAVOC_00110,GLOB2_1482,reject,
GLOB_GAVOC_00110,GLOB2_1576,reject,
GLOB_GAVOC_00111,GLOB_NB_138,match,
GLOB_GAVOC_00116,GLOB2_E_26,match,
GLOB_GAVOC_00128,GLOB_894,reject,
GLOB_GAVOC_00128,GLOB_NB_131,match,
GLOB_GAVOC_00130,GLOB2_1447,match,
GLOB_GAVOC_00133,GLOB_RT_213,reject,
GLOB_GAVOC_00141,GLOB_RT_183,match,
GLOB_GAVOC_00145,GLOB_NB_131,match,
GLOB_GAVOC_00152,GLOB2_1428,reject,
GLOB_GAVOC_00155,GLOB_219,reject,
GLOB_GAVOC_00156,GLOB2_1739,unsure,
GLOB_GAVOC_00160,GLOB_NB_200,reject,
GLOB_GAVOC_00164,GLOB_RT_183,reject,
GLOB_GAVOC_00168,GLOB2_1500,match,
GLOB_GAVOC_00176,GLOB2_910,reject,
GLOB_GAVOC_00177,GLOB_876,unsure,ERROR
GLOB_GAVOC_00177,GLOB_876_HUM_1,unsure,ERROR 
GLOB_GAVOC_00177,GLOB_876_HUM_2,reject,
GLOB_GAVOC_00182,GLOB2_1428,reject,
GLOB_GAVOC_00189,GLOB_249,unsure,shared child
GLOB_GAVOC_00197,GLOB_518,match,
GLOB_GAVOC_00199,GLOB_751,match,
GLOB_GAVOC_00202,GLOB2_1899,match,
GLOB_GAVOC_00205,GLOB_79,unsure,
GLOB_GAVOC_00208,GLOB_RT_9,match,I think the coordinate is just slightly off
GLOB_GAVOC_00211,GLOB_6,reject,
GLOB_GAVOC_00213,GLOB_754,reject,
GLOB_GAVOC_00219,GLOB_754,match,
GLOB_GAVOC_00223,GLOB2_1428,match,
GLOB_GAVOC_00227,GLOB2_E_16,reject,
GLOB_GAVOC_00227,GLOB_129,match,
